lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
5274841;104;0.72;-35.3
5276449;48;0.43;-559.2
5285895;23;0.26;-702.1
5286079;21;0.25;-490.2
5286599;25;0.27;-532.7
5289997;56;0.53;-265.9
5294502;12;0.13;-265
5295432;29;0.3;-493.4
5296022;13;0.15;-592.1
5296785;27;0.29;-403.3
5308837;91;0.71;-302.6
5321516;18;0.21;-404.4
5322588;43;0.39;-448
5323522;60;0.57;-352.1
5327624;32;0.36;-482.5
5329521;375;0.89;58.9
5330014;210;0.83;-85.9
5331472;60;0.53;-416.7
5334144;45;0.41;-456.9
5334383;96;0.73;-282.1
5341415;161;0.78;-106.9
5351226;49;0.44;-439.1
5354862;75;0.64;-42.4
5359605;8;0.1;-489.2
5363116;36;0.37;-650.9
5366363;133;0.74;-99.1
5366891;78;0.65;-304.8
5368959;157;0.76;-97.1
5371455;182;0.77;-66.4
5375203;59;0.54;-374.4
5378329;13;0.16;-659.2
5381070;56;0.55;-373.5
5384866;204;0.8;-42.7
5387073;6;0.06;-191.2
5387832;30;0.32;-582.9
5388457;21;0.22;-143.9
5390978;90;0.64;-283.3
5392958;76;0.59;-387.5
5394667;153;0.77;-107.6
5396718;20;0.21;-579
5398629;239;0.86;77.3
5399118;24;0.26;-485.8
5399780;76;0.6;-360.1
5402771;24;0.25;-553.5
5405324;60;0.57;-307
5406853;43;0.41;-390.6
5407278;266;0.86;49.8
5408278;37;0.35;-492.9
5410638;57;0.48;-419.7
5412414;169;0.74;-128.2
5414290;19;0.19;-514.3
5416705;212;0.78;-23
5418539;37;0.32;-246.2
5434458;72;0.57;-360.4
5436034;184;0.85;6.8
5437807;36;0.37;-463.7
5438107;37;0.43;-838.3
5438704;16;0.2;-362.5
5442851;28;0.3;-484.2
5446556;121;0.73;-135.6
5448097;74;0.61;-292.7
5448431;238;0.86;-35.7
5453604;12;0.13;-642.3
5456971;112;0.76;106.4
5457126;219;0.85;17
5462395;7;0.09;-677.2
5463068;22;0.24;-499.5
5464478;93;0.67;-238.9
5464795;118;0.71;-216.8
5465798;33;0.36;-499.4
5467915;76;0.62;-336.3
5468507;29;0.32;-532.4
5471614;    ;0.24;-631.4
5474230;39;0.38;-602.8
5474685;18;0.19;-596.1
5475421;80;0.62;-352.9
5478086;104;0.7;-224.9
5482766;56;0.5;-306.9
5482962;64;0.49;-777
5484622;42;0.43;-467.6
5488670;32;0.33;-480
5489046;22;0.21;-912.2
5489271;88;0.65;-415.5
5493357;11;0.12;-428.6
5495025;35;0.36;-552.8
5495989;25;0.27;-380.4
5502994;115;0.78;-136.8
5507411;52;0.41;-500.4
5508309;120;0.79;-128.2
5513788;38;0.36;-453.8
5518598;18;0.18;-404.4
5523980;43;0.4;-482.6
5527079;102;0.48;-461.3
5530435;22;0.18;-675.4
5530696;17;0.16;-480.7
5533520;18;0.15;-865.6
5534284;39;0.35;-393.9
5536201;10;0.1;-620
5538118;7;0.07;-218.2
5540054;38;0.35;-543.6
5540818;22;0.18;-462.2
5544569;10;0.11;5
5544729;61;0.52;-373.5
5545475;63;0.53;-397.6
5548046;53;0.46;-408.4
5551494;10;0.1;-629.6
5554236;7;0.08;-708.7
5555120;40;0.38;-359.1
5561756;44;0.46;-448.4
5564251;52;0.51;-385.8
5567250;79;0.62;-304.1
5568937;57;0.52;-361.4
5571165;162;0.77;-91.3
5574390;205;0.79;-52.6
5574650;44;0.45;-660.3
5577637;113;0.73;-171.8
5586315;32;0.33;-342.8
5589126;31;0.35;-520.7
5596209;60;0.51;-478.3
5601779;35;0.34;-492.8
5609220;13;0.15;-494.9
5610529;8;0.1;-317.9
5612918;8;0.09;-645.6
5615830;14;0.13;-472.1
5620193;42;0.45;-456.2
5620785;4;0.05;-445.2
5621155;29;0.31;-300.7
5621587;7;0.08;-443.6
5622052;30;0.3;-821.3
5625583;49;0.44;-422.6
5626103;140;0.73;-104.8
5628648;2;0.03;-954
5635510;68;0.53;-434.2
5637387;30;0.32;-538.9
5638261;17;0.2;-492.9
5639827;74;0.6;-372.4
5643000;64;0.51;-281.4
5644318;10;0.1;-572.5
5645924;4;0.03;-731.5
5648251;6;0.07;-537.7
5651555;33;0.32;-552.2
5652274;34;0.32;-1689
5653038;16;0.18;-508.5
5653887;24;0.25;-533.5
5655436;36;0.35;-574.9
5656746;49;0.42;-515.8
5657060;68;0.55;-468.5
5662372;16;0.16;-821.8
5662593;4;0.04;-656.9
5662917;19;0.21;-538.7
5663542;4;0.04;-386
